证券代码,公司名称,年度,relativeYear,notes
834178.OC,金田铜业,2003,-12,数据库未提供完整会计信息，2007年曾申请IPO但因金融危机而搁浅
834019.OC,大自然,2003,-12,原400001改制挂牌
835433.OC,商之都,2003,-12,数据库未提供完整会计信息，2011年曾试图申请IPO未果
834178.OC,金田铜业,2004,-11,数据库未提供完整会计信息，2007年曾申请IPO但因金融危机而搁浅
834019.OC,大自然,2004,-11,原400001改制挂牌
835433.OC,商之都,2004,-11,数据库未提供完整会计信息，2011年曾试图申请IPO未果
833318.OC,图敏视频,2005,-10,数据库未提供完整会计信息，未知
834019.OC,大自然,2005,-10,原400001改制挂牌
834178.OC,金田铜业,2005,-10,数据库未提供完整会计信息，2007年曾申请IPO但因金融危机而搁浅
834906.OC,蓝凌软件,2005,-10,数据库未提供完整会计信息，未知
835024.OC,七彩云南,2005,-10,数据库未提供完整会计信息，未知
835433.OC,商之都,2005,-10,数据库未提供完整会计信息，2011年曾试图申请IPO未果
832715.OC,华信股份,2005,-10,2008年申请IPO被证监会否决
832715.OC,华信股份,2006,-9,2008年申请IPO被证监会否决
834090.OC,兴达泡塑,2006,-9,数据库未提供完整会计信息
835024.OC,七彩云南,2006,-9,数据库未提供完整会计信息
835433.OC,商之都,2006,-9,数据库未提供完整会计信息
835919.OC,草原宏宝,2006,-9,数据库未提供完整会计信息
831628.OC,西部超导,2005,-9,"2012年申请IPO被证监会否决，2010年发行短期融资券，披露了2006,2007年资产负债表，2008,2009年财务报告"
833081.OC,顺博合金,2006,-9,2010年公司发行集合票据，应披露发行前三年财务数据，估计因此而来
833283.OC,盛瑞传动,2006,-9,2011年申请IPO被证监会否决
833683.OC,吉联新软,2006,-9,
834019.OC,大自然,2006,-9,原400001改制挂牌
834178.OC,金田铜业,2006,-9,数据库未提供完整会计信息，2007年曾申请IPO但因金融危机而搁浅
834229.OC,南京微创,2006,-9,
835951.OC,科净源,2006,-9,
837053.OC,华烁科技,2006,-9,
834777.OC,中投保,2006,-9,
